,Region Keywords,Regions,Locations,locs
0,Ce,Central,Abaasa,"Abaasa, Central"
1,Ce,Central,Abakrampa,"Abakrampa, Central"
2,Ce,Central,Abamkrom,"Abamkrom, Central"
3,Ce,Central,Abandze,"Abandze, Central"
4,Ce,Central,Abeadze Dominase,"Abeadze Dominase, Central"
5,BE,Bono East,Abease,"Abease, Bono East"
6,GA,Greater Accra,Abeka,"Abeka, Greater Accra"
7,GA,Greater Accra,Abelenkpe,"Abelenkpe, Greater Accra"
8,Ea,Eastern,Abene,"Abene, Eastern"
9,Ot,Oti,Abetenase,"Abetenase, Oti"
10,Ea,Eastern,Abetifi,"Abetifi, Eastern"
11,GA,Greater Accra,Abetinso,"Abetinso, Greater Accra"
12,As,Ashanti,Abira (Atwima),"Abira (Atwima), Ashanti"
13,As,Ashanti,Abira (Kwabre),"Abira (Kwabre), Ashanti"
14,Ea,Eastern,Abiriw,"Abiriw, Eastern"
15,GA,Greater Accra,Ablekuma,"Ablekuma, Greater Accra"
16,Bo,Bono,Aboabo,"Aboabo, Bono"
17,BE,Bono East,Aboabo,"Aboabo, Bono East"
18,Ce,Central,Aboabo,"Aboabo, Central"
19,Ot,Oti,Aboabo,"Aboabo, Oti"
20,Ea,Eastern,Aboabo Halt,"Aboabo Halt, Eastern"
21,As,Ashanti,Aboabo No.1,"Aboabo No.1, Ashanti"
22,Bo,Bono,Aboabo Nos.1-4,"Aboabo Nos.1-4, Bono"
23,As,Ashanti,Aboabogya,"Aboabogya, Ashanti"
24,As,Ashanti,Aboaboso,"Aboaboso, Ashanti"
25,We,Western,Aboadze,"Aboadze, Western"
26,Ce,Central,Aboase,"Aboase, Central"
27,As,Ashanti,Abofour,"Abofour, Ashanti"
28,Ot,Oti,Abohire,"Abohire, Oti"
29,GA,Greater Accra,Abokobi,"Abokobi, Greater Accra"
30,WN,Western North,Abokyia,"Abokyia, Western North"
31,Ea,Eastern,Abomasarefo,"Abomasarefo, Eastern"
32,GA,Greater Accra,Abominya,"Abominya, Greater Accra"
33,Ea,Eastern,Abomosu,"Abomosu, Eastern"
34,Ea,Eastern,Abonse,"Abonse, Eastern"
35,As,Ashanti,Abonu,"Abonu, Ashanti"
36,Ce,Central,Abora,"Abora, Central"
37,Vo,Volta,Aborlove,"Aborlove, Volta"
38,As,Ashanti,Abosamso,"Abosamso, Ashanti"
39,We,Western,Aboso,"Aboso, Western"
40,Ea,Eastern,Abotakyi,"Abotakyi, Eastern"
41,As,Ashanti,Abotang,"Abotang, Ashanti"
42,Ce,Central,Abrafo,"Abrafo, Central"
43,Ce,Central,Abrafo Odumase,"Abrafo Odumase, Central"
44,Ce,Central,Abrekum,"Abrekum, Central"
45,Ce,Central,Abrem Agona,"Abrem Agona, Central"
46,Ce,Central,Abreshia,"Abreshia, Central"
47,We,Western,Abreshia,"Abreshia, Western"
48,Ot,Oti,Abrewankor,"Abrewankor, Oti"
49,We,Western,Abrokyire Krobo,"Abrokyire Krobo, Western"
50,Sa,Savannah,Abrumase,"Abrumase, Savannah"
51,As,Ashanti,Abuakwa,"Abuakwa, Ashanti"
52,Ce,Central,Abuakwa,"Abuakwa, Central"
53,As,Ashanti,Abuakwaa,"Abuakwaa, Ashanti"
54,BE,Bono East,Abuo,"Abuo, Bono East"
55,Bo,Bono,Abuokrom,"Abuokrom, Bono"
56,Ah,Ahafo,Abuom,"Abuom, Ahafo"
57,We,Western,Abura,"Abura, Western"
58,Ce,Central,Abura Dunkwa,"Abura Dunkwa, Central"
59,Ea,Eastern,Aburi,"Aburi, Eastern"
60,Vo,Volta,Abutia Agorve,"Abutia Agorve, Volta"
61,GA,Greater Accra,ACCRA,"ACCRA, Greater Accra"
62,GA,Greater Accra,Accra New Town,"Accra New Town, Greater Accra"
63,UE,Upper East,Achanyeri,"Achanyeri, Upper East"
64,As,Ashanti,Achiase,"Achiase, Ashanti"
65,Ea,Eastern,Achiase,"Achiase, Eastern"
66,Ce,Central,Achiase (Denkyira),"Achiase (Denkyira), Central"
67,Ce,Central,Achiase (Gomoa),"Achiase (Gomoa), Central"
68,We,Western,Achichire,"Achichire, Western"
69,WN,Western North,Achimfo,"Achimfo, Western North"
70,GA,Greater Accra,Achimota,"Achimota, Greater Accra"
71,As,Ashanti,Achinakrom,"Achinakrom, Ashanti"
72,No,Northern,Achinayili,"Achinayili, Northern"
73,We,Western,Achonwa,"Achonwa, Western"
74,WN,Western North,Ackaakrom,"Ackaakrom, Western North"
75,GA,Greater Accra,Ada Foah,"Ada Foah, Greater Accra"
76,GA,Greater Accra,Ada Panya,"Ada Panya, Greater Accra"
77,We,Western,Adaamanso,"Adaamanso, Western"
78,NE,North East,Adaaribia,"Adaaribia, North East"
79,Ce,Central,Adaboi,"Adaboi, Central"
80,WN,Western North,Adabokrom,"Adabokrom, Western North"
81,Bo,Bono,Adadiem,"Adadiem, Bono"
82,Vo,Volta,Adagbledu,"Adagbledu, Volta"
83,Vo,Volta,Adaklu Agblefe,"Adaklu Agblefe, Volta"
84,Vo,Volta,Adaklu Goefe,"Adaklu Goefe, Volta"
85,Vo,Volta,Adaklu Kpodzi,"Adaklu Kpodzi, Volta"
86,We,Western,Adakope,"Adakope, Western"
87,We,Western,Adamanso,"Adamanso, Western"
88,Ea,Eastern,Adamorobe,"Adamorobe, Eastern"
89,Ea,Eastern,Adankrono,"Adankrono, Eastern"
90,We,Western,Adansi,"Adansi, Western"
91,As,Ashanti,Adansi Asokwa,"Adansi Asokwa, Ashanti"
92,As,Ashanti,Adansi Praso,"Adansi Praso, Ashanti"
93,As,Ashanti,Adanwomase,"Adanwomase, Ashanti"
94,Ea,Eastern,Adasawase,"Adasawase, Eastern"
95,Ea,Eastern,Adawso,"Adawso, Eastern"
96,No,Northern,Adayili,"Adayili, Northern"
97,No,Northern,Adayiri,"Adayiri, Northern"
98,Ea,Eastern,Addo Nkwanta,"Addo Nkwanta, Eastern"
99,Ea,Eastern,Addonkwanta,"Addonkwanta, Eastern"
100,Ea,Eastern,Adeiso,"Adeiso, Eastern"
101,Ea,Eastern,Adenkrebi,"Adenkrebi, Eastern"
102,GA,Greater Accra,Adentan,"Adentan, Greater Accra"
103,Vo,Volta,Adexor,"Adexor, Volta"
104,Vo,Volta,Adexorkpodzi,"Adexorkpodzi, Volta"
105,Vo,Volta,Adidokpoe,"Adidokpoe, Volta"
106,Vo,Volta,Adidome,"Adidome, Volta"
107,As,Ashanti,Adiembra,"Adiembra, Ashanti"
108,Ce,Central,Adiembra,"Adiembra, Central"
109,WN,Western North,Adiembra,"Adiembra, Western North"
110,We,Western,Adiembra (ST),"Adiembra (ST), Western"
111,We,Western,Adiembra (WA),"Adiembra (WA), Western"
112,WN,Western North,Adiepena,"Adiepena, Western North"
113,Vo,Volta,Adina,"Adina, Volta"
114,Ea,Eastern,Adjeikrom,"Adjeikrom, Eastern"
115,GA,Greater Accra,Adjen Kotoku,"Adjen Kotoku, Greater Accra"
116,GA,Greater Accra,Adjiringanor,"Adjiringanor, Greater Accra"
117,WN,Western North,Adjoafua,"Adjoafua, Western North"
118,We,Western,Adjumako,"Adjumako, Western"
119,Ea,Eastern,Adoagyiri,"Adoagyiri, Eastern"
120,Bo,Bono,Adomase,"Adomase, Bono"
121,WN,Western North,Adonikrom,"Adonikrom, Western North"
122,Ot,Oti,Adonkwanta,"Adonkwanta, Oti"
123,Vo,Volta,Adrume,"Adrume, Volta"
124,Ea,Eastern,Aduamoa,"Aduamoa, Eastern"
125,Ea,Eastern,Aduasa,"Aduasa, Eastern"
126,Ea,Eastern,Adubiase,"Adubiase, Eastern"
127,As,Ashanti,Adugyama,"Adugyama, Ashanti"
128,Ea,Eastern,Adukofi,"Adukofi, Eastern"
