,Products
0,Itraconazol (Exeter) 100mg Caps
1,Xalatan 50mcg/ml 2.5ml Eye Drops
2,Ascovite-Cee 100ml Syrup
3,COLGATE CAVITY PROTECTION TOOTHPASTE 225
4,Blu Col 1% Eye Drop
5,Atenolol (Teva) 100mg Tablets
6,levo-denk 500mg tablet
7,Allopurinol (Teva) 100mg Tablets
8,Sebamed Baby Cleansing Bar 100g
9,kmsaf-750 injection
10,HEALTHAID MAGNESIUM & CALCIUM
11,Bell's Baby Cough Syrup 100ml
12,Listerine (Cool Mint) 500ml Mouthwash
13,Excedrin Migraine Gel Tablets
14,Furosemide (Bristol) 20mg Tablet
15,Methylated Spirit 60ml
16,Syntocinon 5IU/ml Injection
17,KOFOF BABY COUGH SYR
18,Diclofenac (Vega) 75mg Caps
19,Hepatitis B Virus(HBV)(Geneproof)
20,ANTI-GAS TABS
21,ATHLETE'S FOOT CREAM 14G(DR. SHEFFIELD'S
22,Systane 10ml eye drop
23,TRITACE 10MG
24,Imipramine (Dalkeith) 10mg Tablets
25,Adom Koo Mixture
26,Listerine(Mint&GreenT)250ml Mouthwash
27,Perfectil Platinum (60 Doses) Tablets
28,CALCIUM
29,Silver Bird
30,METOCLOPRAMIDE (BLUMEXON) 10MG INJ
31,BF KIDS QUICK RINSE M/WASH 500ML
32,Hayzine 5mg/5ml Syrup
33,ALLERGY RELIEF TABS (CETIRIZINE 10MG) 10
34,Tyrozets Lozenges
35,Hand Sanitizer (Pure Klenz) 100ml
36,Vielung Acrylic (Flowery) 100g
37,Pariet 10mg Tablets
38,Ciprobay 500mg Tablets
39,Azopt 1% 5ml Eye Drops
40,Flomax Relief MR 400mcg Capsules
41,TADOL 100MG/2ML
42,ZOARTEM FORTE 80/480 (6 DOSES)
43,Wellman Original (30 Doses) Tablets
44,Malaria Pf/Pan Ag (GenBody) RDT
45,HiLady Intimate Wash
46,spironolactone (teva) 100mg tablet
47,Duphalac (Lactulose) 200ml Solution
48,STOMACH RELIEF SUSP 117ML
49,Oilatum Emollient 250ml
50,oilatum 150g cream
51,knvm-d5 500ml infusion
52,dolonol tablet
53,Wellwoman 70+ (30 Doses) Tablets
54,E45 Cream 350g
55,Pregnancy Test Kits (Pharm Inter)
56,Minadex Multivitamin 100ml Syrup
57,Amitriptyline (Accord) 50mg Tablet
58,HYDROCORTISONE CREAM 30GM
59,Tegretol 200mg Tablets
60,Nurofen Cold & Flu Tablets
61,Cusimolol 0.5% 5ml Eye Drops
62,Dragon (Strawberry) Jelly 50ml
63,Dermiron-plus 30g cream
64,emgiprofen 400mg tablet
65,Brufen Peadiatric susp. 100ml
66,Azithromycin (Sandoz) 500mg Tablets
67,Enafix 100mg/5ml Suspension
68,Paraconica 1000mg IV
69,Pain Relief (United Exchange) Patches
70,BENYLIN CHILDREN'S DRY COUGH & SORE THRO
71,Doxycycline (Chanelle) 100mg Cap.
72,Prevail (Per-fit women) Diapers
73,Bisoprolol (Accord) 10mg Tablets
74,Cardiofin 20mg Tablets
75,NORMAL SALINE INFUSION 500ML
76,Advil 200mg Sachets (2doses) Caplets
77,PREGNACARE BREAST-FEEDING
78,Aprovasc 150mg/5mg Tablets
79,Selevite (30 Doses) Tablets
80,Pure Honey (Honey World) 200ml
81,Vaginax 100mg (6 Doses) Pessary
82,TRITACE 2.5MG
83,Actifed Cold 100ml Syrup
84,kmbact 200mg/100ml injection
85,Alive Typhoid King 1L Syrup
86,ANUSOL OINTMENT
87,Dial Basics Bar Soap (3Pieces) 270g
88,Fragmin 5000IU 0.2ml Injection
89,Exforge 5mg/160mg Tablets
90,Rocephin 1g IM Injection
91,H/AID VIT E 400 IU CAPS
92,Oral B Mouthwash 500ml
93,Diclo-Denk 75mg/3ml Injection
94,Wokadine Ointment
95,Euthymol Toothpaste 75ml
96,RES Q TAB
97,AGBEVE TONIC
98,Combantrin 125mg (6 doses) Tablets
99,Molped Panty Liner
100,Hand Sanitizer (Pure Klenz) 250ml
101,NITROLINGUAL SPRAY
102,Luex Children's Dry Cough 100ml Syrup
103,Dermomed (Antibacterial) 300ml
104,Now Peppermint Oil 30ml
105,Clervitarx 0.05% Cream
106,Hot Water Bottle (Jacket)
107,Gogynax 100mg (6 Doses) Pessary
108,Gebedol Forte (10 Doses) Tablets
109,KY jelly 113g
110,amlodipine (ecl) 5mg
111,Rennie Chewable Tablets
112,TRIPLE ANTIBNIOTIC OINTMENT 9G(DR.SHEFFI
113,Unidus Delay Condoms (3 Pieces)
114,Sparnis Garlic Bitters 200ml
115,Mist F.A.C (Phersons) 200ml
116,EXIFEN SUSP (BUTTERSCOTCH)
117,Chlorpromazine (ECL) 50mg Tablets
118,calcium b12 (letap) 200ml suspension
119,Celecoxib (Exeter) 200mg Tablet
120,Enamycin 125mg/5ml 100ml Suspension
121,Veet Hair Removal Cream 150ml
122,Twynsta 80mg/10mg Tablets
123,Enacin-C 150mg Capsules
124,Lactulose ( Crescent) 300ml Solution
125,Novaldex D 20mg Tablets
126,QUININE SYR 100ML
127,Dostinex 0.5mg Tablets
128,Streptol (6 Doses) Lozenges
129,LIVOLIN FORTE SOFTGEL
130,Bareback Condoms (3 Pack)
131,FUROSEMIDE (TROGE) INJ 2ML
132,Maxmox(Amoxycillin) 250mg Caps
133,HEALTHAID VITAMIN B1 100MG TABS (90 DOSE
134,NCP Antiseptic 200ml
135,Coartem 20mg/120mg (12 Doses) Tablets
136,Diovan 160mg Tablets
137,Drez Powder
138,Rima DS 2% 20g Cream
139,VAL VIT C 500MG
140,Corsodyl Mouthwash 500ml
141,Prednisolone(Northstar) 5mg
142,HemoCue Cleaner Plus
143,Mamia Easy Pants Size 4 (22 Pieces)
144,Share Fruits (All Types)
145,Wellman Max (84 Doses) Tablets
146,CANDID V6 100MG
147,Natrilix SR 1.5mg Tablets
148,Carvedilol (Teva) 6.25mg Tablets
149,PSA (GenBody) RDT
150,HEALTHAID FOLIC ACID 400MCG
151,Tamsulosin (Zentiva) 400mcg Tablets
152,Eusol Lotion
153,Ramizid 10mg Tablets
154,Bactroban 2% Cream 15g
155,Strepsils Honey & Lemon Lozenges
156,Mamia Baby Diaper Size 4 Maxi+ (44's)
157,Nestrim 80mg/400mg Tablets
158,celecoxib (lavina) 200mg capsule
159,Rizole (PhytoRiker) Suspension
160,Ciprocir (ciprofloxacin) E/E 5ml Drop
161,Clarithromycin (Vega) 500mg Tablet
162,salocold 100ml syrup
163,Aquafresh Pump Toothpaste 100ml
164,IMPRESSER OIL
165,kmclav 0.6g injection
166,QUININE SULPHATE 300MG TABS
167,Daonil 5mg Tablets
168,Corsodyl Mouthwash 300ml
169,KOFFEX C 125ML
170,Canderel Granula 75g Powder
171,Keptrils Lozenges
172,Otrivin 1% Nasal Drops
173,Baseboom 100mg Tablet
174,Azathioprine (Teva) 50mg Tablets
175,Liverplex B 100ml Syrup
176,D-Artepp 80mg/640mg (6 doses) Tablets
177,Metasol Soap 80g
178,Nucleic Acid Extraction(Sansure) Kit
179,CO-TRIMOXAZOLE 100ML
180,Metoclopramide(Exeter) 10mg Tablet
181,Cetirizine (Almus) 10mg Tablets
182,Doxycap (Doxycycline)100mg Capsule
183,TADALAFIL TAB 20MG UK
184,Diagellates 60ml Elixir
185,Tranexamic Acid (Vega) 500mg/5ml
186,Cyclogyl 1% Eye Drop
187,Aqueous Cream (Almus) 500g
188,Fiesta Condoms (3 Pieces)
189,Hytrin 2mg Tablets
190,Dicnac (Diclofenac) 75mg/3ml Inj
191,Simvastatin (Brown & Burk) 10mg Tab
192,Amoksiklav 1g Tablets
193,Levofloxacin (Vega) 500mg Tablets
194,3fer 200ml syrup
195,Covonia Mucus Cough 150ml Syrup
196,Digital Thermometer
197,Gillette Endurance
198,Covonia Throat Spray 30ml
199,Fertilo Forte Sticks
200,STREPSILS (SORE THROAT & COUGH) LOZENGES
201,AQUAFRESH ACTIVE WHITE TOOTHPASTE 125ML
202,PARACETAMOL 120MG/5ML (PINEWOOD) SUSP 10
203,Talgentis (Centurion) 5mg Tablets
204,Masmol 120mg/5ml 100ml Syrup
205,Tylenol Infant Drops 30ml
206,BENDROFLUMETHIAZIDE(CRESCENT) 2.5MG
207,DOMI-10 SUPP
208,Levothyroxine (Mercury)100mcg Tablet
209,Efferv Vit C(Active-Max) 1G (20 Dose)
210,Plendil 5mg Tablets
211,Luex Adult Dry Cough 150ml Syrup
212,Atorvastatin (Wockhardt) 40mg Tab
213,Rosuvastatin (Teva) 20mg Tablets
214,Drez Ointment 30g
215,Dragon 100mg Lozenges
